sample_id,agent_id,faction,confidence,champion,reason,source_file
1,coach_02_3,主帅视角派,68,法国,姆巴佩+登贝莱+奥利塞三叉戟攻防转换是全攻全守的终极形态，克鲁伊夫会欣赏这种流动性。,wc2026_aggregation.json
2,coach_05_3,主帅视角派,35,美国,东道主备战优势不可低估，D组对手均无夺冠经验，48队扩军增大容错率。,wc2026_aggregation.json
3,coach_07_3,主帅视角派,55,荷兰,格拉芬贝赫+廷伯+加克波全是自家青训精品，技术流压迫在F组有练兵空间。,wc2026_aggregation.json
4,injury_03_3,伤病赛程派,70,法国,巴萨帮体能窗口不足，法国阿根廷体能占优；穆西亚拉维尔茨年轻但赛季负荷过高。,wc2026_aggregation.json
5,injury_04_3,伤病赛程派,55,西班牙,西班牙选择迈阿密训练营湿热气候适应与2022阿根廷卡塔尔夺冠路径相似，备战环境匹配度极高。,wc2026_aggregation.json
6,model_03_1,建模派,72,法国,随机森林集成1000棵树综合四维度特征，法国14.8亿欧+I组最轻松出线路径，模型输出21.4%最高。,wc2026_aggregation.json
7,model_02_3,建模派,58,巴西,HMM将球队状态建模为隐藏变量，安切洛蒂执教带来战术跃迁概率+28%，修正夺冠概率至13.8%。,wc2026_aggregation.json
8,mental_09_3,心理抗压派,71,阿根廷,阿根廷延续Libre para siempre自由足球哲学，38岁梅西享受比赛带领卫冕冠军，放松心态下魔咒反而成动力。,wc2026_aggregation.json
9,mental_08_2,心理抗压派,30,克罗地亚,400万人口小国2018亚军2022季军，战火中走出的韧性DNA比身价更重要，莫德里奇最后一舞。,wc2026_aggregation.json
10,mental_08_1,心理抗压派,62,阿根廷,荷兰无冕之王心魔太深，转而看好阿根廷凭卫冕经验+梅西最后一舞动力打破魔咒。,wc2026_aggregation.json
11,data_01_3,数据派,72,阿根廷,阿根廷历史Elo等级分深厚，2022冠军班底核心保留，大赛淘汰赛经验 invaluable。,wc2026_aggregation.json
12,data_02_3,数据派,35,挪威,哈兰德2.33亿欧本赛季状态火热，厄德高伤愈回归，挪威预选双杀意大利证明防守硬度。,wc2026_aggregation.json
13,data_03_3,数据派,65,德国,德国定位球转化率在纳格尔斯曼体系下显著提升，穆西亚拉+维尔茨双核E组几乎零消耗。,wc2026_aggregation.json
14,mystic_04_1,玄学派,72,阿根廷,决赛7月19日纽约55%概率WBGT超28度，梅西在迈阿密已适应湿热，南美球队热带基因觉醒。,wc2026_aggregation.json
15,mystic_01_3,玄学派,38,哥伦比亚,哥伦比亚四字恰好26画与2026完美共振！2+6=8寓意发财，FIFA第13天选黑马。,wc2026_aggregation.json
16,mystic_10_3,玄学派,58,英格兰,1966至2026整整一甲子大周期轮回，48队新制元年必诞生新王，萨卡终结60年诅咒。,wc2026_aggregation.json
17,fan_04_1,老球迷派,72,葡萄牙,C罗41岁第六次出征创历史，葡萄牙FIFA第4且9.57亿欧身价位列前五，航海家精神不灭。,wc2026_aggregation.json
18,fan_03_1,老球迷派,30,乌拉圭,1950马拉卡纳父亲见证天蓝军团踩碎巴西冠军梦，七十六年轮回。H组出线后轻装上阵，民族血性不在乎排名。,wc2026_aggregation.json
19,fan_09_3,老球迷派,48,阿根廷,世界杯需要领袖，38岁梅西精心管理体能，卫冕冠军底蕴犹存，老马在天之灵保佑。,wc2026_aggregation.json
20,odds_05_2,赔率派,75,西班牙,EU合规市场资金流向显示西班牙+500被持续买入，多家机构同步下调；德国+1400被严重低估。,wc2026_aggregation.json
21,odds_08_2,赔率派,68,西班牙,四十年交易生涯，西班牙+500虽热但合理：2024欧洲杯冠军且24个月不败，亚马尔232M领衔。,wc2026_aggregation.json
22,odds_03_3,赔率派,30,美国,美国+6500隐含1.5%被严重低估，所有小组赛本土进行，北美首次联合办赛主场氛围决定性。,wc2026_aggregation.json
23,odds_04_1,赔率派,65,法国,Polymarket显示法国真实胜率接近17%，高于传统博彩+550隐含15.4%，去中心化市场存在定价偏差。,wc2026_aggregation.json
24,age_04_1,阵容年龄派,72,西班牙,亚马尔19岁佩德里23岁新陈代谢快恢复力强；反观巴西高龄阵容伤病风险在密集赛程中被放大。,wc2026_aggregation.json
25,age_10_2,阵容年龄派,35,哥伦比亚,J罗34岁2014金靴经验加持，迪亚斯28岁利物浦巅峰，法尔考36岁超级替补，老少三代搭配默契。,wc2026_aggregation.json
26,age_02_3,阵容年龄派,65,阿根廷,梅西38岁领导力无可替代，搭配恩佐25岁阿尔瓦雷斯26岁麦卡利斯特27岁，老中青三代梯次分明。,wc2026_aggregation.json
27,dark_10_1,黑马派,72,挪威,挪威总身价6.01亿欧排第9，哈兰德2.33亿欧，但赔率仅+3000，直觉告诉我这是最被忽视的双核。,wc2026_aggregation.json
28,dark_03_3,黑马派,22,挪威,550万人口小国，ESPN实力第10，哈兰德2.33亿欧+预选双杀意大利，FIFA第31极度错配。,wc2026_aggregation.json
29,dark_06_2,黑马派,42,哥伦比亚,哥伦比亚FIFA第13赔率+4000被严重低估，南美高原基因适配美洲气候，小组K除葡萄牙外实力有限。,wc2026_aggregation.json
30,dark_05_2,黑马派,58,葡萄牙,C罗41岁第六次参赛但更衣室已交给新生代，经纪圈朋友说队内气氛空前团结，+1100被低估。,wc2026_aggregation.json
